Organisation,Titel,Datum,Location,Description,Link
Munich Startup,Women Start-up Morning Jour Fixe,15. Mai,"Rosenheimer Str. 145 i, 81671 München","Women Start-up Morning Jour Fixe – from Jobdespair to Funding an AI native Deeptech Startup
Are you interested in the topic of entrepreneurship? Do you like to connect with other (future) female founders? And are you interested in the topic of Deeptech startups?
Join us for a unique morning event at the Media Lab Bayern where you’ll have the chance to meet and connect with the Women Start-up community.
This time we are focussing on the topic of funding an AI native Deeptech Startup.
Our expert Anika Gruner initially started her professional career in the media environment. After working for Prosiebensat1, ARTE, BR and production companies such as Endemol, her path led her into B2B online marketing, where she worked for several years in international companies. Today she tells us how her path from marketing led her to co-founding a deeptech startup and why she can’t imagine doing anything else but being self-employed.
Neuraforge is working on a comprehensive, AI-supported solution for reliable deepfake detection to prove the authenticity of media content. With their comprehensive software, they want to give people the solution to curate all forms of feeds. Neuraforge was launched in April 2024 attending the Media Lab Start Up Fellowship and has 5 employees today.
Take the chance to ask questions, get first-hand insights, and connect with other students and young professionals over a coffee – who knows, you might meet your future co-founder or spark the idea for your next big project!
This event is brought to you by Women Start-up in cooperation with Media Lab Bayern.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/women-start-up-morning-jour-fixe-0525/
Munich Startup,Munich Co-Founder Matching,19. Mai,"Thierschstraße 20,, 80538 München","Munich Co-Founder Matching – Find your Co-Founder
This is the place where entrepreneurs, visionaries, and makers meet to find the perfect co-founder to bring bold ideas to life.
Whether you are:
An aspiring founder with a game-changing idea, searching for the right person to help you build it,
An early-stage startup looking for additional co-founders to complete your founding team,
A talented individual without a specific idea yet, but eager to join forces with others and co-create a venture from scratch…
You’re in the right place.
Join us on Mai 19th, 2025, for an inspiring evening with a structured meeting concept, meaningful conversations, and real connections. You’ll meet like-minded people, share your vision or skills, and take the first step toward building something amazing together.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/munich-co-founder-matching-0524/
Munich Startup,Female Future Festival Munich,22. Mai,"Atelierstraße 1, 81671 München","Was dich beim Female Future Festival erwartet?
„Ein Tag der Inspiration. Ein Festival der Möglichkeiten. Ein Event für Entschlossene und Unentschlossene, für Mutige und Macherinnen, für Entdeckerinnen und Gründerinnen, für neue Perspektiven und unentdeckte Potenziale. Also genau das Richtige für dich, dich und dich.“
Programm und Speaker*Innen
Über 30 authentische, spannende & emotionale Speaker:innen warten auf dich. Expert:innen, die dir Mut machen, motivieren und zum Nachdenken und Nachahmen animieren! Menschen, die mit Ihren Geschichten berühren, die etwas bewegen und „echt“ sind – mit all ihren Höhen und Tiefen.
Das gesamte Female Future Festival Programm findest du zeitnah vor dem Festival online & du darfst dich sowas von freuen & gespannt sein.
Hol dir jetzt gleich dein Ticket und feiere diesen Tag mit uns. Lass dich inspirieren und hol dir für dich und deine berufliche Zukunft neuen Spirit.
Ticketermäßigungen (30 %) für:
Elternticket
Gründer:innen
Student:innen
Schick uns gerne per Mail (hello@femalefuturefestival.com) einen Nachweis, dass du berechtigt bist, die Ermäßigung in Anspruch zu nehmen, dann erhältst du einen Rabattcode von uns!
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/female-future-festival-munich-2025/
Munich Startup,Circular Republic Festival 2025,22. Mai : 9:00 Uhr - 23. Mai : 16:00 Uhr,"Freddie-Mercury-Straße 5, 80797 München","CIRCULAR REPUBLIC FESTIVAL – The place to be for all circular economy visionaries.
The event for circular economy innovation celebrates its second edition by the motto „build your competitive advantage“ and brings together all visionaries to accelerate the circular transformation across all industries.
Two-day flagship event on circular economy
Five innovation and impulse areas
Top speakers and thought leaders in circular economy
1000+ participants expected
20+ panel discussions and key notes
40 start-up pitches and 6 category awards
3 hands-on workshops on circular business models
10 Circular Hackfest challenges
Networking and best practices
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/circular-republic-festival-2025/
Munich Startup,Biotech & IP Seminar for Founders and Startups,22. Mai : 9:00 Uhr - 23. Mai : 15:00 Uhr,"Am Klopferspitz 19a, 82152 Martinsried","We are pleased to invite you to our Biotech & IP Seminar 2025 in Munich tailored for biotechnology startups and founders, designed to explore the critical intersection of innovation, intellectual property, and business strategy.
Topics will include:
Basics of patentability of biotech inventions
Financing of startups
International and domestic licensing
Issues with the Employee Inventions Act
AI in inventions and patent law
Strategic filings
Copyright issues
We are delighted to announce that our patent attorneys and attorneys-at-law from VOSSIUS are joined by external guest speakers who are experts in the field of biotechnology, patent law, and startup funding. Their expertise will provide valuable insights into the challenges and opportunities facing today’s biotech innovators.
The event is an excellent opportunity to network with fellow founders, gain critical knowledge, and address the unique challenges your startup may face as you navigate the complexities of intellectual property in the biotechnology and life sciences sector.
We look forward to welcoming you to our Biotech & IP Seminar 2025 for Startups and Founders.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/biotech-ip-seminar-for-founders-and-startups/
Munich Startup,HACK’N’TALK – Circular Hackfest Special,22. Mai,"Freddie-Mercury-Straße 5, 80797 München","Connect, Learn, and Grow at HACK’N’TALK, the Premier Community Event for Entrepreneurs and Innovators!
We’re kicking off this special HACK’N’TALK edition with an introduction to the UnternehmerTUM ecosystem, setting the stage for an exciting evening in collaboration with CIRCULAR REPUBLIC and MakerSpace.
This event is about circular transformation—moving beyond theory to real-world impact. The circular economy isn’t just a concept; it’s a fundamental shift in managing resources and building sustainable business models. Together, we’ll explore how these ideas shape industries and everyday life.
Panel Discussion: Andrea Schneller (Co-Founder, Koorvi) x Karoline Reperich, (Sustainability Manager, Circular Economy, Tchibo)
Live Pitches from the CIRCULAR HACKFEST
Get inspired as aspiring founders take the stage to showcase the innovative projects they’ve developed during the CIRCULAR HACKFEST. Expect cutting-edge ideas, valuable feedback, and dynamic sparring sessions!
Connect & Network
At HACK’N’TALK, networking is at the heart of the experience. Meet fellow entrepreneurs, investors, and industry professionals, exchange ideas, and forge valuable connections that could shape your startup journey.
If you have any questions, feel free to reach out to Lisa Schebitz at lisa.schebitz@unternehmertum.de.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/hackntalk-circular-hackfest-special-2025/
Munich Startup,AFTERWERK – Startup Pitches & Networking,22. Mai,"Am Kartoffelgarten 14, 81671 München","Alle zwei Monate findet im WERK1 das AFTERWERK statt. Hier stellen sich alle neu im Inkubator eingezogenen Startups mit einem kurzen Pitch vor. Neben den Pitches teilt das WERK1 alle News rund um das Gründerzentrum und es ist die perfekte Gelegenheit, mit Personen aus dem Münchner Startup-Ökosystem zu networken. Schaut gerne vorbei!
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/afterwerk-startup-pitches-networking-0525/
Munich Startup,SheStartup – Frauen gründen,27. Mai,"Max-Joseph-Strasse 2, 80333 München","Du planst dich selbstständig zu machen oder hast eine konkrete Geschäftsidee und schon gegründet? Du suchst den Austausch mit anderen Gründerinnen? Dann ist unsere Veranstaltung SheStartup genau das Richtige.
Diese Themen erwarten Euch:
Zahlen, Daten Fakten – Frauen gründen
Infos zum Businessplan und Förderangeboten
Seminare und Veranstaltungen
Coachingprogramme
Netzwerke für Gründerinnen
Vorstellung des guide – e.V. München
Podiumsdiskussion mit erfahrenen Gründerinnen (Susanna Mur mit guud und Olga Brumnik mit Beevanta)
Austausch mit anderen Gründungsinteressierten
Zielgruppe:
Gründerinnen im Haupt- und Nebenerwerb und solchen, die es werden wollen.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/shestartup-frauen-gruenden/
Munich Startup,AI+MUNICH Pitch Night,27. Mai,"Heßstraße 89, 80797 München","Join us for the next AI+MUNICH Pitch Night!
You’ll meet the teams currently in the program and see firsthand what our latest funded startups have achieved as they pitch their progress and future plans.
This evening is especially for those interested in applying for our next funding batch. It’s a unique opportunity to connect with our founders, gain insights into the program, and ask any question about the application process.
Beyond that, we welcome everyone passionate about AI – whether you’re a founder, investor, corporate, student or AI enthusiast. Expect an inspiring evening full of networking, knowledge exchange, and innovation.
Agenda:
6.00 pm: Doors open
6.15 pm: Welcome
6.20 pm: Startup Pitches (funded teams) Batch #10
7.15 pm: Introduction funded teams Batch #11
7.30 pm: Meet current program participants & Info session for future applicants
7.45 pm: Networking over food & drinks
10.00 pm: Closing
If you’re considering joining AI+MUNICH, this is your chance to experience the ecosystem up close!
For questions, feel free to reach out: contact@aimunich.com
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/aimunich-pitch-night-0425/
Munich Startup,COLLABORATE – Leverage your power of diversity!,3. Juni,"Freddie-Mercury-Straße 5, 80797 München","Women Start-up Empowerment Training Series
Welcome to the Training „COLLABORATE – Leverage your power of diversity!“ – Successfully working together as diverse teams.
Teamwork can make or break business success. Your team and your culture make you different from others!
But what are the essential ingredients for a thriving team culture and collaboration? This training might just be what you need to learn how to attract and enable diverse talent and steer teams toward success.
We invite all present and future female founders or students interested in the topic of team diversity from all educational and professional backgrounds. Sign up today and find out why raising a diverse team is most likely the best decision you can make for any of your endeavors.
Learning Outcomes
In this hands-on training you will:
Discover how diversity drives great teamwork and innovation
Learn the ins and outs of building collaborative and high-performing teams
Develop your ability to increase engagement within your team and attract fitting new members for your endeavor
Requirements:
First experiences in team & project leading
Self-awareness and curiosity
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/collaborate-leverage-your-power-of-diversity/
Munich Startup,Startup Demo Night,3. Juni,"Atelierstraße 24, 81671 München","Innovationen zum Anfassen und Ausprobieren!
Auf einem der größten Events der Münchener Gründerszene präsentieren rund 70 Startups live an Ausstellerständen ihre innovativen Lösungen und Prototypen. Alle Branchen sind vertreten – von HighTech über Bio Sciences, IoT, Mobilität, Lifestyle oder Gesundheit bis Sport.
Lerne eine Vielzahl spannender Startups unterschiedlichster Branchen kennen.
Probiere die Ideen und Produkte selbst aus.
Trete mit Gründerteams, Kapitalgebern und Unternehmensvertretern in entspannter Networking-Atmosphäre in Kontakt.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/startup-demo-night-2025/
Munich Startup,The Reveal 2025: Start-up Demo Day powered by UnternehmerTUM,4. Juni,"Freddie-Mercury-Straße 5, 80797 München","The Reveal is the grand finale of UnternehmerTUM’s incubation and acceleration programs. Hosted in Munich by UnternehmerTUM, the number one start-up hub in Europe, this event brings together start-up teams from XPRENEURS, Techfounders, EIT Manufacturing, and ESA Business Accelerator Germany to pitch their groundbreaking ideas to a diverse audience of VCs, corporates, media, mentors, business angels, alumni, and innovation enthusiasts.
UnternehmerTUM drives European tech sovereignty and economic growth by connecting pioneering start-ups and founders with established companies, investors, and experts. This annual event is an essential platform for showcasing cutting-edge innovations and fostering strategic alliances. It brings together the brightest minds and most promising start-ups to shape the future of technology together.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/the-reveal-2025-start-up-demo-day-powered-by-unternehmertum/
Munich Startup,International Entrepreneurs‘ Night: Mobility #Helsinki x Rise Europe,5. Juni,"Freddie-Mercury-Straße 5, 80797 München","Join us in discovering mobility innovations from Helsinki that contribute to shaping our future of mobility!
Startup Mobility Innovations from #Helsinki
In collaboration with our partner Aalto University and Rise Europe – the network of leading European start-up ecosystem builders, we showcase cutting-edge advancements in the field of mobility on June 5th in Munich.
The event provides a platform for innovative startups and experts to share their ideas and developments, and to foster valuable connections between the Munich startup ecosystem and European ecosystems within the Rise Europe network. By creating an environment of learning and collaboration, we drive innovation and facilitate a meaningful exchange of mobility solutions.
Just a few reasons to take a closer look at Helsinki’s innovation landscape:
Finland is a leader in sustainable and smart mobility solutions.
Finland has a strong track record in developing and implementing advanced technologies.
Finland’s startup ecosystem is vibrant and supportive, fostering innovation and entrepreneurship.
Join us as we celebrate the power of collaboration and ingenuity in shaping the future of mobility!
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/international-entrepreneurs-night-mobility-helsinki-x-rise-europe/
Munich Startup,Festival der Zukunft,3. Juli : 9:00 Uhr - 6. Juli : 22:00 Uhr,"Museumsinsel 1, 80538 München","Entdecke beim „Festival der Zukunft“ von 1E9 und Deutschem Museum neueste Entwicklungen aus Technologie, Wissenschaft, Business und Kunst. Vernetze dich mit innovativen Vordenkerinnen und Visionären. Erlebe Workshops, Performances und Sommer in München.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/festival-der-zukunft-2025/
Munich Startup,Online: NAVIGATE – Be a strong and authentic female leader,8. Juli,,"Women Start-up Empowerment Training Series
Welcome to the online Training „NAVIGATE – Be a strong and authentic Female Leader!“ – Grow as a female leader by leading with confidence.
We empower women to become leaders and drive positive change towards a more sustainable future. In this training, we aim to equip you with exactly what it takes to grow as a strong and authentic leader and become aware and confident in your own ability to inspire action both in yourself and in others.
This training is open to all present and future female founders or students interested in the topic of humanistic leadership from all educational and professional backgrounds. We invite you to sign up and grab a seat at the table as the transformational role models you are set to become.
Get ready to jumpstart your leadership!
Learning Outcomes
In this hands-on training you will:
Enhance your self-reflective capability and build resilience and self-efficacy
Grow your entrepreneurial mindset and learn effective tools for self-empowerment
Develop human-centered approaches to problem solving and innovation
Grow your network of aspiring women leaders, entrepreneurs, and changemakers
Requirements:
First leadership experiences
Self-awareness and curiosity
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/navigate-be-a-strong-and-authentic-female-leader/
Munich Startup,Businettes Female Founders Summit,11. Juli,"Rosenkavalierplatz 13, 81925 München","Der Businettes Female Founders Summit 2025 ist DAS Event für ambitionierte Gründerinnen und Unternehmerinnen! Sei dabei, wenn wir in Berlin (3. Juni 2025) und München (11. Juli 2025) die Bühne für Female Empowerment und unternehmerischen Erfolg eröffnen. Triff über 800 Teilnehmer:innen – von Investor:innen und Top-Speaker:innen bis hin zu Gründerinnen und Schlüsselakteur:innen des Startup-Ökosystems.
Was Dich erwartet:
Inspirierende Keynotes & Masterclasses: Lerne von den Besten zu Themen wie Skalierung, Finanzierung, Personal Branding, Steuern, Mental Health und mehr.
Startup Pitches & Expo-Area: Präsentier dein Startup auf der Bühne oder in der Expo-Area und bringe es auf das nächste Level.
Investors 1:1 Networking: Exklusive Möglichkeiten, direkt mit Investor:innen in Kontakt zu treten.
Styling Lounge, Goodie Bags & mehr: Lass dich verwöhnen und erlebe viele weitere Überraschungen – von Drinks und Catering bis hin zu einzigartigen Networking-Möglichkeiten.
Ein Tag voller Austausch & Inspiration: Knüpfe wertvolle Kontakte, lass dich inspirieren und sammle neue Ideen für dein Business.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/businettes-female-founders-summit/
Munich Startup,Munich Startup Festival 2025,16. Juli,"Reitknechtstraße 6, 80639 München","Munich Startup Festival 2025 – Das Sommer-Highlight der Münchner Startup-Community
Seid ihr GründerInnen, InvestorInnen, Studierende oder einfach gerne am Netzwerken? Dann solltet ihr euch dieses Event nicht entgehen lassen!
Markiert euch den 16. Juli 2025 fett im Kalender! An diesem Tag verwandelt sich das Backstage München erneut in das Zentrum der Münchner Startup-Szene. Nach dem großen Erfolg im letzten Jahr gehen wir 2025 in die nächste Runde: Freut euch auf inspirierende GründerInnen, namhafte PolitikerInnen und andere Persönlichkeiten des Startup-Ökosystems. Natürlich wird auch das Pitchen wieder ein Highlight sein – der Munich Startup Award 2025 kürt das „Beste Münchner Startup 2025“. Alles verpackt in eine noch größere Portion Festival-Feeling.",https://www.munich-startup.de/veranstaltung/munich-startup-festival-2025/
Munich Startup,Online: Holdingstrukturen: Umsetzung und Vorteile für Startups,25. September,,"gate-Academy: Workshop in Zusammenarbeit mit KPMG
Du fragst dich, welche Vorteile eine Holdingstruktur für dein Startup haben kann und wie du sie umsetzt? Dann bist du bei unserer nächsten gate-Academy genau richtig.
Im online Themenvortrag mit anschließendem Q&A erläutert dir Christina Rester von KPMG, folgende Inhalte:
In welcher Konstellation macht eine Holdingstruktur für dein Startup Sinn?
Welche steuerlichen Vorteile bringt sie?
Welche rechtlichen Rahmenbedingungen zur Umsetzung sind nötig?
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/online-holdingstrukturen-umsetzung-und-vorteile-fuer-startups-2/
Munich Startup,Online: STRENGTHEN – Be Resilient to Transform!,14. Oktober,,"Women Start-up Empowerment Training Series
Welcome to the online Training „STRENGTHEN – Be Resilient to Transform!“.
Resilience is key to bringing responsible entrepreneurship and regenerative business ideas to life. In this session we will explore the essential inner skills and qualities of change makers, consciously building on the inner development goals. Starting with ourselves from an individual perspective, we will then branch out to look at teams and structures working towards a systemic understanding of resilience.
Learning Outcomes:
Introduction to the Inner Development Goals as a framework anchored to the Sustainable Development Goals
Systemic understanding of resilience beyond narrow, short-term notions of “self-care”
Self-reflection and inspiration to strengthen the resilience of projects, teams and structures
Requirements:
First project experiences
Self-awareness and curiosity
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/online-strengthen-be-resilient-to-transform/
Munich Startup,Online: VCs verstehen – Wie tickt ein VC und wie wähle ich den richtigen aus,16. Oktober,,"gate-Academy: Workshop in Zusammenarbeit mit KPMG (online)
Im Themenvortrag mit anschließendem Q&A erläutert Michael Königer von KPMG:
Interessen und Sichtweisen von VCs
wie zielführende Kommunikation aussieht
und wie du Fehlentscheidungen vorbeugen kannst
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/online-vcs-verstehen-wie-tickt-ein-vc-und-wie-waehle-ich-den-richtigen-aus-4/
Munich Startup,Startup WORK Job Messe,24. Oktober,"Am Kartoffelgarten 14, 81671 München","Nach einer sehr erfolgreichen Startup WORK Ausgabe im Oktober 2024 mit mehr als 350 Jobsuchenden und +15 Startups, geben wir den Startschuss für die Startup WORK 2025!
Also seid am 24. Oktober 2025 entweder mit Eurem Startup oder als Jobsuchende/r dabei!
STARTUP WORK FÜR STARTUPS
Zugang zu 300+ Talenten
Vorab-Zugang zu Lebensläufen & Matching mit passenden Jobsuchenden
Bewerber direkt kennenlernen und vor Ort interviewen
Networking mit anderen Startups aus dem Ökosystem
Workshops, Keynotes und Interviews
STARTUP WORK FÜR JOBSUCHENDE
Ganztägiger Zugang zur Messe mit 15+ Startups
Kostenlose Bewerbungsfotos mit Premiumticket
Lade Deinen Lebenslauf zum Pre-Matching mit den Startup-Ausstellern hoch
Lerne die HR Personen in einer entspannten Atmosphäre direkt vor Ort kennen
Vorstellungsgespräche vor Ort
Workshops & Keynotes
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/startup-work-job-messe-2025/
Munich Startup,AFTERWERK – Startup Pitches & Networking,30. Oktober,"Am Kartoffelgarten 14, 81671 München","Alle zwei Monate findet im WERK1 das AFTERWERK statt. Hier stellen sich alle neu im Inkubator eingezogenen Startups mit einem kurzen Pitch vor. Neben den Pitches teilt das WERK1 alle News rund um das Gründerzentrum und es ist die perfekte Gelegenheit, mit Personen aus dem Münchner Startup-Ökosystem zu networken. Schaut gerne vorbei!
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/afterwerk-startup-pitches-networking-1025/
Munich Startup,.,2. Dezember,,,https://www.munich-startup.de/veranstaltung/105484/
